"first element","second element","1/2","2/1","1*2","1+2","1-2","2-1","total"
"a","a",0.11,0.11,0,0.01,0.08,0.08,5970
"a","d",0.21,0.36,0.23,0.56,0.54,0.54,5988
"d","d",0.25,0.24,0.04,0.06,0.24,0.24,5994
"a","aa",0.13,0.09,0.14,0.47,0.48,0.48,2040
"a","ad",0.16,0.14,0.14,0.47,0.43,0.43,2088
"a","dd",0.35,0.26,0.18,0.54,0.53,0.53,1872
"d","aa",0.46,0.3,0.34,0.66,0.65,0.65,1950
"d","ad",0.11,0.2,0.18,0.52,0.52,0.52,2082
"d","dd",0.45,0.4,0.57,0.72,0.72,0.72,1956
"aa","aa",0.17,0.16,0.01,0.01,0.07,0.07,600
"aa","ad",0.1,0.11,0.13,0.51,0.5,0.5,714
"aa","dd",0.52,0.16,0.41,0.61,0.6,0.6,606
"ad","aa",0.08,0.03,0.09,0.36,0.43,0.43,696
"ad","ad",0.15,0.15,0,0,0.05,0.05,702
"ad","dd",0.32,0.17,0.09,0.52,0.55,0.55,702
"dd","aa",0.2,0.61,0.46,0.64,0.65,0.65,618
"dd","ad",0.18,0.29,0.15,0.43,0.45,0.45,714
"dd","dd",0.39,0.43,0.01,0.06,0.2,0.2,648
